index,name,title,kind,status,reason,returncode,seconds,outputs
1,cross_scene_baseline_train,Cross-scene | Full-modality baseline training,train,dry_run,,0,0.000,E:\Deskbook\Tea\HAR\outputs\baseline_cross_scene\best.pth
2,cross_scene_baseline_eval15,Cross-scene | Baseline 15-combination evaluation,eval,skipped,missing_required=E:\Deskbook\Tea\HAR\outputs\baseline_cross_scene\best.pth,0,0.000,E:\Deskbook\Tea\HAR\outputs\eval\baseline_cross_scene_all_combinations.csv;E:\Deskbook\Tea\HAR\outputs\eval\baseline_cross_scene_all_combinations.md
3,cross_subject_baseline_train,Cross-subject | Full-modality baseline training,train,dry_run,,0,0.000,E:\Deskbook\Tea\HAR\outputs\baseline_cross_subject\best.pth
4,cross_subject_baseline_eval15,Cross-subject | Baseline 15-combination evaluation,eval,skipped,missing_required=E:\Deskbook\Tea\HAR\outputs\baseline_cross_subject\best.pth,0,0.000,E:\Deskbook\Tea\HAR\outputs\eval\baseline_cross_subject_all_combinations.csv;E:\Deskbook\Tea\HAR\outputs\eval\baseline_cross_subject_all_combinations.md
5,random_teacher_xfi_report,Random split | Teacher vs official X-Fi HAR report,report,dry_run,,0,0.000,E:\Deskbook\Tea\HAR\outputs\eval\all_combinations.xfi_compare_summary.csv
6,random_student_vk_xfi_report,Random split | Student-VK vs official X-Fi HAR report,report,dry_run,,0,0.000,E:\Deskbook\Tea\HAR\outputs\eval\student_vk_all_combinations.xfi_compare_summary.csv
7,random_student_nv_xfi_report,Random split | Student-NV vs official X-Fi HAR report,report,dry_run,,0,0.000,E:\Deskbook\Tea\HAR\outputs\eval\student_nv_nonvisual_combinations.xfi_compare_summary.csv
8,random_baseline_xfi_report,Random split | Baseline vs official X-Fi HAR report,report,skipped,missing_required=E:\Deskbook\Tea\HAR\outputs\eval\baseline_full_all_combinations.csv,0,0.000,E:\Deskbook\Tea\HAR\outputs\eval\baseline_full_all_combinations.xfi_compare_summary.csv
9,ablation_no_distill_xfi_report,Random split | No-distillation ablation report,report,skipped,missing_required=E:\Deskbook\Tea\HAR\outputs\eval\ablation_no_distill_all_combinations.csv,0,0.000,E:\Deskbook\Tea\HAR\outputs\eval\ablation_no_distill_all_combinations.xfi_compare_summary.csv
10,ablation_uniform_fusion_xfi_report,Random split | Uniform-fusion ablation report,report,skipped,missing_required=E:\Deskbook\Tea\HAR\outputs\eval\ablation_uniform_fusion_all_combinations.csv,0,0.000,E:\Deskbook\Tea\HAR\outputs\eval\ablation_uniform_fusion_all_combinations.xfi_compare_summary.csv
