index,name,title,kind,status,reason,returncode,seconds,outputs
1,random_teacher_eval31,Random split | Teacher 31-combination evaluation,eval,done,,0,21469.547,/apps/users/icps_intelligence/data/lyg/X-Fi/MMFi_HPE/outputs/eval/teacher_random_all_combinations.csv
2,random_student_vk_eval31,Random split | Student-VK 31-combination evaluation,eval,done,,0,18662.320,/apps/users/icps_intelligence/data/lyg/X-Fi/MMFi_HPE/outputs/eval/student_vk_random_all_combinations.csv
3,random_student_nv_eval15,Random split | Student-NV non-visual combination evaluation,eval,done,,0,10116.179,/apps/users/icps_intelligence/data/lyg/X-Fi/MMFi_HPE/outputs/eval/student_nv_random_nonvisual_combinations.csv
4,random_baseline_eval31,Random split | Baseline 31-combination evaluation,eval,skipped,outputs_exist,0,0.000,/apps/users/icps_intelligence/data/lyg/X-Fi/MMFi_HPE/outputs/eval/baseline_full_all_combinations.csv
5,random_distillation_ablation_train,Random split | No-distillation ablation training,train,skipped,outputs_exist,0,0.000,/apps/users/icps_intelligence/data/lyg/X-Fi/MMFi_HPE/outputs/ablation/no_kd/best.pth
6,random_ablation_no_distill_eval31,Random split | No-distillation ablation 31-combination evaluation,eval,done,,0,18833.378,/apps/users/icps_intelligence/data/lyg/X-Fi/MMFi_HPE/outputs/eval/ablation_no_distill_all_combinations.csv
7,random_reliability_ablation_train,Random split | Uniform-fusion ablation training,train,failed,,1,35562.806,/apps/users/icps_intelligence/data/lyg/X-Fi/MMFi_HPE/outputs/ablation/uniform/best.pth
8,random_ablation_uniform_fusion_eval31,Random split | Uniform-fusion ablation 31-combination evaluation,eval,done,,0,26862.429,/apps/users/icps_intelligence/data/lyg/X-Fi/MMFi_HPE/outputs/eval/ablation_uniform_fusion_all_combinations.csv
9,random_teacher_missing_summary,Random split | Teacher missing-modality summary,eval,done,,0,18702.565,/apps/users/icps_intelligence/data/lyg/X-Fi/MMFi_HPE/outputs/eval/teacher_missing_modality_summary.csv
10,random_student_vk_missing_summary,Random split | Student-VK missing-modality summary,eval,skipped,outputs_exist,0,0.000,/apps/users/icps_intelligence/data/lyg/X-Fi/MMFi_HPE/outputs/eval/student_vk_missing_modality_summary.csv
11,random_student_nv_missing_summary,Random split | Student-NV missing non-visual summary,eval,done,,0,9012.682,/apps/users/icps_intelligence/data/lyg/X-Fi/MMFi_HPE/outputs/eval/student_nv_missing_modality_summary.csv
12,random_baseline_missing_summary,Random split | Baseline missing-modality summary,eval,done,,0,21725.927,/apps/users/icps_intelligence/data/lyg/X-Fi/MMFi_HPE/outputs/eval/baseline_missing_modality_summary.csv
13,random_student_vk_vk_noise,Random split | Student-VK VK noise and joint-drop robustness,eval,skipped,outputs_exist,0,0.000,/apps/users/icps_intelligence/data/lyg/X-Fi/MMFi_HPE/outputs/eval/student_vk_noise_robustness.csv
14,random_teacher_complexity,Random split | Teacher complexity export,export,done,,0,38.051,/apps/users/icps_intelligence/data/lyg/X-Fi/MMFi_HPE/outputs/eval/teacher_full_model_complexity.csv
15,random_student_vk_complexity,Random split | Student-VK complexity export,export,done,,0,27.217,/apps/users/icps_intelligence/data/lyg/X-Fi/MMFi_HPE/outputs/eval/student_vk_model_complexity.csv
16,random_student_nv_complexity,Random split | Student-NV complexity export,export,done,,0,26.442,/apps/users/icps_intelligence/data/lyg/X-Fi/MMFi_HPE/outputs/eval/student_nv_model_complexity.csv
17,random_baseline_complexity,Random split | Baseline complexity export,export,done,,0,27.123,/apps/users/icps_intelligence/data/lyg/X-Fi/MMFi_HPE/outputs/eval/baseline_full_model_complexity.csv
18,cross_scene_teacher_train,cross_scene | Teacher full-modality training,train,done,,0,80477.625,/apps/users/icps_intelligence/data/lyg/X-Fi/MMFi_HPE/outputs/teacher_full_cross_scene_split/best.pth
19,cross_scene_teacher_eval31,cross_scene | Teacher 31-combination evaluation,eval,done,,0,35293.218,/apps/users/icps_intelligence/data/lyg/X-Fi/MMFi_HPE/outputs/eval/teacher_cross_scene_all_combinations.csv
20,cross_scene_student_vk_train,cross_scene | Student-VK missing-modality training,train,done,,0,139375.810,/apps/users/icps_intelligence/data/lyg/X-Fi/MMFi_HPE/outputs/student_vk_missing_cross_scene_split/best.pth
21,cross_scene_student_vk_eval31,cross_scene | Student-VK 31-combination evaluation,eval,done,,0,80276.955,/apps/users/icps_intelligence/data/lyg/X-Fi/MMFi_HPE/outputs/eval/student_vk_cross_scene_all_combinations.csv
22,cross_scene_student_nv_train,cross_scene | Student-NV non-visual missing-modality training,train,done,,0,93484.018,/apps/users/icps_intelligence/data/lyg/X-Fi/MMFi_HPE/outputs/student_nv_missing_cross_scene/best.pth
23,cross_scene_student_nv_eval15,cross_scene | Student-NV non-visual combination evaluation,eval,done,,0,22761.048,/apps/users/icps_intelligence/data/lyg/X-Fi/MMFi_HPE/outputs/eval/student_nv_cross_scene_nonvisual_combinations.csv
24,cross_scene_baseline_train,cross_scene | Baseline full-modality training,train,failed,,1,94305.075,/apps/users/icps_intelligence/data/lyg/X-Fi/MMFi_HPE/outputs/baseline_full_cross_scene_split/best.pth
25,cross_scene_baseline_eval31,cross_scene | Baseline 31-combination evaluation,eval,failed,,1,54685.953,/apps/users/icps_intelligence/data/lyg/X-Fi/MMFi_HPE/outputs/eval/baseline_cross_scene_all_combinations.csv
26,cross_subject_teacher_train,cross_subject | Teacher full-modality training,train,failed,,1,157.067,/apps/users/icps_intelligence/data/lyg/X-Fi/MMFi_HPE/outputs/teacher_full_cross_subject_split/best.pth
27,cross_subject_teacher_eval31,cross_subject | Teacher 31-combination evaluation,eval,skipped,missing_required=/apps/users/icps_intelligence/data/lyg/X-Fi/MMFi_HPE/outputs/teacher_full_cross_subject_split/best.pth,0,0.000,/apps/users/icps_intelligence/data/lyg/X-Fi/MMFi_HPE/outputs/eval/teacher_cross_subject_all_combinations.csv
28,cross_subject_student_vk_train,cross_subject | Student-VK missing-modality training,train,skipped,missing_required=/apps/users/icps_intelligence/data/lyg/X-Fi/MMFi_HPE/outputs/teacher_full_cross_subject_split/best.pth,0,0.000,/apps/users/icps_intelligence/data/lyg/X-Fi/MMFi_HPE/outputs/student_vk_missing_cross_subject_split/best.pth
