work_item,category,evidence_path,status,recommendation,reason_or_risk
VK骨图编码器,主线核心,HPE/models/skeleton_prompt_encoder.py;HAR/models/skeleton_prompt_encoder.py,完成,保留,"明确使用关节身份与骨拓扑；不是普通坐标MLP"
VK-RMD HPE 31组合,主线核心,HPE/outputs/eval/student_vk_random_all_combinations.csv,完成,保留,"覆盖全部非空子集；平均75.18 mm且全模态50.17 mm"
VK-RMD HAR 15组合,主线核心,HAR/outputs/eval/student_vk_random_all_combinations.csv,完成,保留,"覆盖全部非空子集；平均85.15%且全模态96.56%"
Student-NV HPE,主线核心,HPE/outputs/eval/student_nv_random_nonvisual_combinations.csv,完成,保留,"证明VK不可用时仍可部署；15组合平均84.68 mm"
Student-NV HAR,主线核心,HAR/outputs/eval/student_nv_random_nonvisual_combinations.csv,完成,保留,"证明纯非视觉部署；7组合平均80.62%"
VK配对边际贡献,主线核心,supplement/vk_paired_marginal_contribution/vk_paired_marginal_summary.csv,完成,保留,"控制同一非VK子集后VK在HPE 15/15和HAR 7/7配对均改善；比不相关组合平均更有解释力"
身份泄露线性探针,主线核心,privacy_leakage_probe/privacy_leakage_probe_subject_id_summary.csv,完成,保留但降调,"VK 15.43%低于defaced RGB 67.53%，但仍显著高于2.5% chance；Depth/LiDAR泄露仍高"
随机子集训练,主线核心,HPE/training/engine.py:400;HAR/training/engine.py:348,完成,保留,"每batch采样缺失数与具体模态，是任意子集部署的直接训练条件"
FSG/KD HPE,谨慎使用,HPE/outputs/eval/ablation_no_distill_all_combinations.csv,完成,降级为辅助,"no-KD 72.68 mm优于full 75.18 mm，不支持KD是HPE主增益"
FSG/KD HAR,支撑证据,HAR/outputs/eval/ablation_no_distill_all_combinations.csv,完成,保留,"no-KD 82.86%低于full 85.15%，支持HAR中的辅助收益"
KD变体端点,补充材料,HPE/outputs/ablation/output_kd/final_eval.csv;HPE/outputs/ablation/full_structural_kd/final_eval.csv,部分完成,补充材料,"主要是full-modality端点，不能替代31组合结论"
Uniform fusion消融,主线核心,HPE/outputs/eval/ablation_uniform_fusion_all_combinations.csv;HAR/outputs/eval/ablation_uniform_fusion_all_combinations.csv,完成,保留,"HPE 82.77 vs 75.18 mm；HAR 67.46% vs 85.15%，直接支持自适应融合"
Reliability权重热图,支撑证据,HPE/outputs/eval/student_vk_reliability_weights.csv;HAR/outputs/eval/student_vk_reliability_weights.csv,完成,保留,"证明权重依子集变化；不能证明物理可靠性"
Reliability corruption,谨慎使用,tables/reliability_corruption_from_logs.csv,完成,讨论或补充,"mmWave/LiDAR等部分扰动方向合理，但HPE Depth腐蚀后权重上升、WiFi扰动略改善"
VK reliability stress,谨慎使用,tables/vk_reliability_weight_stress.csv,完成,补充材料,"权重并不总随VK质量单调下降；不能作为校准可靠性证据"
Expert compensation analysis,支撑证据,outputs/expert_compensation_analysis/expert_compensation_summary.csv,完成,补充材料,"能观察融合对坏VK的部分补偿，但融合常不优于最佳非VK专家"
Body-latent alignment diagnostic,应删除,tables/body_latent_alignment_from_logs.csv,完成,不用于主张,"same-shuffled gap仅0.0001-0.001且top1接近随机，不支持严格语义对齐"
VK语义扰动实验,支撑证据,supplement/vk_semantic_anchor_summary.csv,完成,补充材料,"joint shuffle使HPE/HAR退化，说明关节身份被使用；Depth/mmWave任务敏感性更强"
缺失强度汇总,主线核心,tables/subset_severity_summary.csv,完成,保留,"展示从full到severe missing的退化曲线"
Leave-one-out,主线核心,tables/leave_one_modality_delta.csv,完成,保留,"说明HPE主要依赖Depth、HAR主要依赖mmWave，防止夸大VK唯一中心"
Cross-subject HPE/HAR,主线核心,HPE/outputs/eval/student_vk_cross_subject_all_combinations.csv;HAR/outputs/eval/student_vk_cross_subject_all_combinations.csv,完成,保留,"验证未见主体；结果接近random"
Cross-scene HPE/HAR,主线核心,HPE/outputs/eval/student_vk_cross_scene_all_combinations.csv;HAR/outputs/eval/student_vk_cross_scene_all_combinations.csv,完成,保留为边界,"HPE平均142.02 mm暴露明显场景退化；必须诚实呈现"
Official X-Fi逐组合对比,支撑证据,HPE/legacy_xfi/xfi_hpe_table1.csv;HAR/legacy_xfi/xfi_har_table6.csv,完成,保留但标记输入差异,"official result；RGB/VK差异导致不是完全公平训练对照"
