figure_path,file_name,content_type,current_quality,suggested_section,suggested_caption,insert_to_main_text,need_redraw,reason
E:\Deskbook\Tea\figures\fig1_overall_framework.png,fig1_overall_framework.png,framework/alignment,usable,Method,VK-RMD framework: VK replaces downstream RGB and anchors body-token learning with non-RGB sensors.,yes,no,Indexed figure candidate.
E:\Deskbook\Tea\figures\fig2_missing_modality_setting.png,fig2_missing_modality_setting.png,missing-modality protocol,usable,Method,Full-to-Subset Guidance protocol with full-modality teacher and random-subset student.,yes,no,Indexed figure candidate.
E:\Deskbook\Tea\figures\fig3_main_results.png,fig3_main_results.png,main HPE/HAR results,usable,Results,Main HPE/HAR performance summary.,yes,no,Indexed figure candidate.
E:\Deskbook\Tea\figures\fig4_missing_modality_robustness.png,fig4_missing_modality_robustness.png,missing-modality severity,usable,Results,Performance under increasing missing-modality severity.,yes,no,Indexed figure candidate.
E:\Deskbook\Tea\figures\fig5_ablation.png,fig5_ablation.png,ablation/fair baseline,usable,Results,Fair baseline and ablation comparison.,yes,no,Indexed figure candidate.
E:\Deskbook\Tea\figures\fig6a_hpe_reliability_weights.png,fig6a_hpe_reliability_weights.png,reliability proxy,usable,Results/Discussion,Learned modality contribution proxy across modality subsets.,yes,no,Indexed figure candidate.
E:\Deskbook\Tea\figures\fig6b_har_reliability_weights.png,fig6b_har_reliability_weights.png,reliability proxy,usable,Results/Discussion,Learned modality contribution proxy across modality subsets.,yes,no,Indexed figure candidate.
E:\Deskbook\Tea\figures\fig6_reliability_weights.png,fig6_reliability_weights.png,reliability proxy,usable,Results/Discussion,Learned modality contribution proxy across modality subsets.,yes,no,Indexed figure candidate.
E:\Deskbook\Tea\figures\reliability_weight_heatmap.png,reliability_weight_heatmap.png,unknown,diagnostic/optional,Discussion,Candidate figure.,no,no,Indexed figure candidate.
E:\Deskbook\Tea\figures\subset_severity_curve.png,subset_severity_curve.png,missing-modality severity,usable,Results,Performance under increasing missing-modality severity.,yes,no,Indexed figure candidate.
E:\Deskbook\Tea\tables\1\fig1_rgb_vk_body_latent_alignment_current.png,fig1_rgb_vk_body_latent_alignment_current.png,body-latent diagnostic,diagnostic/optional,Discussion,Diagnostic evidence for body-latent token correspondence.,no,no,Diagnostic only; weak evidence for strict alignment.
E:\Deskbook\Tea\tables\1\fig2_missing_modality_protocol.png,fig2_missing_modality_protocol.png,missing-modality protocol,usable,Method,Full-to-Subset Guidance protocol with full-modality teacher and random-subset student.,yes,no,Indexed figure candidate.
E:\Deskbook\Tea\tables\1\fig3_main_hpe_har_results.png,fig3_main_hpe_har_results.png,main HPE/HAR results,usable,Results,Main HPE/HAR performance summary.,yes,no,Indexed figure candidate.
E:\Deskbook\Tea\tables\1\fig4_missing_modality_severity.png,fig4_missing_modality_severity.png,missing-modality severity,usable,Results,Performance under increasing missing-modality severity.,yes,no,Indexed figure candidate.
E:\Deskbook\Tea\tables\1\fig5_ablation_fair_baseline.png,fig5_ablation_fair_baseline.png,ablation/fair baseline,usable,Results,Fair baseline and ablation comparison.,yes,no,Indexed figure candidate.
E:\Deskbook\Tea\tables\1\fig6_reliability_proxy_weights.png,fig6_reliability_proxy_weights.png,reliability proxy,usable,Results/Discussion,Learned modality contribution proxy across modality subsets.,yes,no,Indexed figure candidate.
E:\Deskbook\Tea\tables\1\fig7_body_latent_alignment_diagnostic.pdf,fig7_body_latent_alignment_diagnostic.pdf,body-latent diagnostic,diagnostic/optional,Discussion,Diagnostic evidence for body-latent token correspondence.,no,no,Diagnostic only; weak evidence for strict alignment.
E:\Deskbook\Tea\tables\1\fig7_body_latent_alignment_diagnostic.png,fig7_body_latent_alignment_diagnostic.png,body-latent diagnostic,diagnostic/optional,Discussion,Diagnostic evidence for body-latent token correspondence.,no,no,Diagnostic only; weak evidence for strict alignment.
E:\Deskbook\Tea\tables\1\fig7_body_latent_alignment_diagnostic.svg,fig7_body_latent_alignment_diagnostic.svg,body-latent diagnostic,diagnostic/optional,Discussion,Diagnostic evidence for body-latent token correspondence.,no,no,Diagnostic only; weak evidence for strict alignment.
E:\Deskbook\Tea\tables\1\fig7_body_latent_alignment_diagnostic_unverified.png,fig7_body_latent_alignment_diagnostic_unverified.png,body-latent diagnostic,diagnostic/optional,Discussion,Diagnostic evidence for body-latent token correspondence.,no,yes,Unverified earlier figure; use verified replacement if available.
E:\Deskbook\Tea\tables\1\fig8_corruption_diagnostic_unverified.png,fig8_corruption_diagnostic_unverified.png,corruption diagnostic,diagnostic/optional,Discussion,Reliability proxy response under synthetic modality corruption.,no,yes,Unverified earlier figure; use verified replacement if available.
E:\Deskbook\Tea\tables\1\fig8_reliability_corruption_diagnostic.pdf,fig8_reliability_corruption_diagnostic.pdf,corruption diagnostic,usable,Discussion,Reliability proxy response under synthetic modality corruption.,yes,no,"Use cautiously as learned proxy diagnostic, not physical reliability proof."
